,INSP_UNIT_MAKE,0,1,2,3,4,5,6,7,total_count
63,ALLCO,13.0,45.0,7.0,2.0,17.0,2.0,13.0,10.0,96.0
2279,NAVI,6.0,25.0,9.0,24.0,4.0,7.0,13.0,9.0,91.0
1111,FELL,6.0,3.0,3.0,36.0,7.0,26.0,10.0,5.0,90.0
364,BREN,8.0,21.0,8.0,13.0,7.0,2.0,11.0,28.0,90.0
704,COTTR,5.0,18.0,12.0,6.0,14.0,21.0,9.0,9.0,89.0
3649,WELL,5.0,1.0,2.0,43.0,5.0,14.0,10.0,13.0,88.0
3761,WTTS,14.0,59.0,5.0,3.0,1.0,5.0,9.0,5.0,87.0
281,BETT,8.0,3.0,0.0,40.0,1.0,18.0,11.0,13.0,86.0
3299,TRAI,7.0,17.0,9.0,15.0,5.0,22.0,14.0,4.0,86.0
911,DOON,22.0,20.0,26.0,12.0,8.0,10.0,5.0,5.0,86.0
598,CIMR,4.0,22.0,8.0,16.0,3.0,3.0,19.0,15.0,86.0
101,AMER,4.0,5.0,0.0,24.0,7.0,17.0,12.0,20.0,85.0
1069,FABC,17.0,6.0,6.0,32.0,6.0,14.0,5.0,15.0,84.0
3139,TALB,10.0,19.0,11.0,10.0,3.0,22.0,9.0,9.0,83.0
1756,KEN,4.0,26.0,8.0,9.0,7.0,5.0,14.0,14.0,83.0
989,ECLN,3.0,9.0,1.0,28.0,3.0,22.0,8.0,11.0,82.0
1832,KWDT,3.0,26.0,6.0,14.0,3.0,8.0,11.0,14.0,82.0
925,DRAG,13.0,28.0,9.0,8.0,6.0,7.0,13.0,10.0,81.0
1850,LAMAR,4.0,6.0,3.0,28.0,3.0,23.0,4.0,14.0,81.0
2467,PEQU,6.0,0.0,2.0,38.0,3.0,13.0,10.0,14.0,80.0
2771,ROAD,4.0,8.0,3.0,20.0,3.0,28.0,7.0,10.0,79.0
1110,FELG,8.0,0.0,4.0,26.0,6.0,24.0,8.0,11.0,79.0
2065,MATE,6.0,25.0,5.0,14.0,2.0,4.0,14.0,15.0,79.0
981,EASU,14.0,12.0,11.0,12.0,6.0,9.0,13.0,15.0,78.0
2795,ROGU,9.0,49.0,8.0,4.0,3.0,3.0,5.0,6.0,78.0
595,CIMC,13.0,31.0,3.0,5.0,8.0,4.0,12.0,15.0,78.0
1206,FREIG,1.0,24.0,8.0,11.0,6.0,8.0,12.0,8.0,77.0
3748,WSTI,4.0,19.0,10.0,21.0,1.0,7.0,7.0,11.0,76.0
3137,TAKT,5.0,0.0,1.0,12.0,3.0,12.0,25.0,22.0,75.0
3389,TROX,4.0,20.0,7.0,5.0,9.0,1.0,15.0,18.0,75.0
2044,MANAC,3.0,11.0,22.0,6.0,1.0,2.0,19.0,14.0,75.0
655,COMM,6.0,7.0,2.0,11.0,8.0,11.0,12.0,22.0,73.0
2473,PERL,7.0,11.0,10.0,12.0,7.0,2.0,10.0,20.0,72.0
3647,WELD,5.0,41.0,5.0,2.0,7.0,1.0,2.0,12.0,70.0
3311,TRAN,11.0,20.0,7.0,6.0,3.0,13.0,13.0,7.0,69.0
2369,OSHK,17.0,13.0,6.0,16.0,5.0,7.0,19.0,3.0,69.0
1189,FRAI,7.0,14.0,4.0,17.0,6.0,7.0,6.0,14.0,68.0
2244,MTD,4.0,3.0,0.0,16.0,18.0,23.0,3.0,5.0,68.0
867,DIAS,3.0,4.0,2.0,28.0,1.0,14.0,11.0,8.0,68.0
2181,MLLR,1.0,10.0,13.0,7.0,3.0,20.0,6.0,8.0,67.0
3660,WEST,4.0,23.0,2.0,6.0,3.0,5.0,7.0,20.0,66.0
3364,TRLM,4.0,24.0,3.0,7.0,4.0,13.0,7.0,8.0,66.0
3508,UTBC,5.0,23.0,4.0,0.0,7.0,2.0,13.0,17.0,66.0
970,EAGL,5.0,5.0,0.0,23.0,3.0,19.0,8.0,8.0,66.0
420,BUTL,8.0,0.0,1.0,22.0,6.0,22.0,10.0,4.0,65.0
3301,TRAIL,7.0,13.0,14.0,13.0,2.0,13.0,7.0,3.0,65.0
902,DODGE,14.0,1.0,5.0,14.0,3.0,19.0,7.0,16.0,65.0
3186,TEXP,5.0,0.0,5.0,24.0,4.0,14.0,4.0,14.0,65.0
1382,HACK,6.0,27.0,4.0,11.0,5.0,2.0,9.0,6.0,64.0
2376,OTHER,9.0,6.0,4.0,17.0,3.0,15.0,7.0,12.0,64.0
3344,TRIN,6.0,19.0,6.0,9.0,2.0,3.0,10.0,14.0,63.0
697,COTR,9.0,6.0,7.0,11.0,5.0,17.0,5.0,11.0,62.0
1212,FRGH,14.0,14.0,5.0,5.0,2.0,19.0,7.0,10.0,62.0
1578,INT,5.0,12.0,2.0,16.0,3.0,2.0,9.0,16.0,60.0
1766,KERR,9.0,7.0,6.0,15.0,3.0,14.0,5.0,9.0,59.0
484,CAMY,5.0,1.0,1.0,20.0,1.0,18.0,13.0,4.0,58.0
68,ALLO,20.0,31.0,4.0,8.0,2.0,4.0,7.0,2.0,58.0
1887,LDMX,11.0,3.0,3.0,21.0,2.0,16.0,5.0,8.0,58.0
463,CAM,7.0,0.0,2.0,21.0,0.0,25.0,5.0,4.0,57.0
2522,PJTR,1.0,2.0,6.0,23.0,3.0,12.0,2.0,9.0,57.0
1745,KEAR,5.0,3.0,0.0,25.0,7.0,11.0,6.0,3.0,55.0
2318,NORS,2.0,3.0,0.0,16.0,6.0,25.0,3.0,2.0,55.0
768,CTSI,2.0,23.0,6.0,0.0,10.0,5.0,9.0,2.0,55.0
2661,RANH,4.0,2.0,5.0,16.0,6.0,11.0,6.0,9.0,55.0
3287,TPHT,5.0,4.0,0.0,17.0,5.0,17.0,6.0,6.0,55.0
1530,HYST,9.0,14.0,4.0,8.0,4.0,5.0,7.0,11.0,53.0
2136,MHEB,1.0,0.0,2.0,32.0,8.0,4.0,4.0,2.0,52.0
1076,FABRI,3.0,2.0,1.0,15.0,7.0,13.0,6.0,8.0,52.0
3072,SUNN,10.0,15.0,6.0,9.0,2.0,10.0,6.0,4.0,52.0
1590,INTR,3.0,6.0,1.0,18.0,7.0,10.0,5.0,4.0,51.0
